region,state,county,population
South,South Carolina,Lee,16701
South,South Carolina,Lexington,303946
South,South Carolina,McCormick,9430
South,South Carolina,Marion,30158
South,South Carolina,Marlboro,25581
South,South Carolina,Newberry,38445
South,South Carolina,Oconee,80015
South,South Carolina,Orangeburg,85343
South,South Carolina,Pickens,127983
South,South Carolina,Richland,419051
South,South Carolina,Saluda,20315
South,South Carolina,Spartanburg,326205
South,South Carolina,Sumter,106360
South,South Carolina,Union,26991
South,South Carolina,Williamsburg,29825
South,South Carolina,York,289105
Midwest,South Dakota,Aurora,2730
Midwest,South Dakota,Beadle,18513
Midwest,South Dakota,Bennett,3399
Midwest,South Dakota,Bon Homme,6848
Midwest,South Dakota,Brookings,35603
Midwest,South Dakota,Brown,38738
Midwest,South Dakota,Brule,5254
Midwest,South Dakota,Buffalo,1956
Midwest,South Dakota,Butte,10538
Midwest,South Dakota,Campbell,1380
Midwest,South Dakota,Charles Mix,9262
Midwest,South Dakota,Clark,3802
Midwest,South Dakota,Clay,14246
Midwest,South Dakota,Codington,28186
Midwest,South Dakota,Corson,4031
Midwest,South Dakota,Custer,9017
Midwest,South Dakota,Davison,19812
Midwest,South Dakota,Day,5345
Midwest,South Dakota,Deuel,4346
Midwest,South Dakota,Dewey,5789
Midwest,South Dakota,Douglas,2906
Midwest,South Dakota,Edmunds,3817
Midwest,South Dakota,Fall River,6708
Midwest,South Dakota,Faulk,2306
Midwest,South Dakota,Grant,7000
Midwest,South Dakota,Gregory,4219
Midwest,South Dakota,Haakon,1861
Midwest,South Dakota,Hamlin,6234
Midwest,South Dakota,Hand,3127
Midwest,South Dakota,Hanson,3489
Midwest,South Dakota,Harding,1311
Midwest,South Dakota,Hughes,17336
Midwest,South Dakota,Hutchinson,7282
Midwest,South Dakota,Hyde,1281
Midwest,South Dakota,Jackson,3321
Midwest,South Dakota,Jerauld,1985
Midwest,South Dakota,Jones,938
Midwest,South Dakota,Kingsbury,4987
Midwest,South Dakota,Lake,12488
Midwest,South Dakota,Lawrence,26221
Midwest,South Dakota,Lincoln,63019
Midwest,South Dakota,Lyman,3797
Midwest,South Dakota,McCook,5520
Midwest,South Dakota,McPherson,2363
Midwest,South Dakota,Marshall,4884
Midwest,South Dakota,Meade,28588
Midwest,South Dakota,Mellette,2089
Midwest,South Dakota,Miner,2202
Midwest,South Dakota,Minnehaha,196659
Midwest,South Dakota,Moody,6525
Midwest,South Dakota,Oglala Lakota,14070
Midwest,South Dakota,Pennington,115926
Midwest,South Dakota,Perkins,2832
Midwest,South Dakota,Potter,2163
Midwest,South Dakota,Roberts,10331
Midwest,South Dakota,Sanborn,2322
Midwest,South Dakota,Spink,6319
Midwest,South Dakota,Stanley,3121
Midwest,South Dakota,Sully,1391
Midwest,South Dakota,Todd,10313
Midwest,South Dakota,Tripp,5377
Midwest,South Dakota,Turner,8368
Midwest,South Dakota,Union,16192
Midwest,South Dakota,Walworth,5336
Midwest,South Dakota,Yankton,22742
Midwest,South Dakota,Ziebach,2656
South,Tennessee,Anderson,77558
South,Tennessee,Bedford,50179
South,Tennessee,Benton,16131
South,Tennessee,Bledsoe,15223
South,Tennessee,Blount,134751
South,Tennessee,Bradley,109071
South,Tennessee,Campbell,39837
South,Tennessee,Cannon,14847
South,Tennessee,Carroll,27779
South,Tennessee,Carter,56418
South,Tennessee,Cheatham,41101
South,Tennessee,Chester,17432
South,Tennessee,Claiborne,32023
South,Tennessee,Clay,7629
South,Tennessee,Cocke,36225
South,Tennessee,Coffee,57632
South,Tennessee,Crockett,14180
South,Tennessee,Cumberland,61603
South,Tennessee,Davidson,694176
South,Tennessee,Decatur,11601
South,Tennessee,DeKalb,20837
South,Tennessee,Dickson,54376
South,Tennessee,Dyer,36693
South,Tennessee,Fayette,41620
South,Tennessee,Fentress,18787
South,Tennessee,Franklin,42485
South,Tennessee,Gibson,49159
South,Tennessee,Giles,29530
South,Tennessee,Grainger,23565
South,Tennessee,Greene,69571
South,Tennessee,Grundy,13485
South,Tennessee,Hamblen,65110
South,Tennessee,Hamilton,371662
South,Tennessee,Hancock,6493
South,Tennessee,Hardeman,24836
South,Tennessee,Hardin,25583
South,Tennessee,Hawkins,56775
South,Tennessee,Haywood,17002
South,Tennessee,Henderson,28076
South,Tennessee,Henry,32056
South,Tennessee,Hickman,25387
South,Tennessee,Houston,8292
South,Tennessee,Humphreys,18590
South,Tennessee,Jackson,11864
South,Tennessee,Jefferson,55307
South,Tennessee,Johnson,17849
South,Tennessee,Knox,475609
South,Tennessee,Lake,6988
South,Tennessee,Lauderdale,25451
South,Tennessee,Lawrence,44432
South,Tennessee,Lewis,12363
South,Tennessee,Lincoln,34540
South,Tennessee,Loudon,54910
South,Tennessee,McMinn,54208
South,Tennessee,McNairy,25696
South,Tennessee,Macon,24827
South,Tennessee,Madison,98360
South,Tennessee,Marion,28924
South,Tennessee,Marshall,35016
South,Tennessee,Maury,99590
South,Tennessee,Meigs,12532
South,Tennessee,Monroe,47177
South,Tennessee,Montgomery,214251
South,Tennessee,Moore,6438
South,Tennessee,Morgan,21431
South,Tennessee,Obion,30131
South,Tennessee,Overton,22566
South,Tennessee,Perry,8099
South,Tennessee,Pickett,5061
South,Tennessee,Polk,16835
South,Tennessee,Putnam,80929
South,Tennessee,Rhea,33443
South,Tennessee,Roane,53841
South,Tennessee,Robertson,72275
South,Tennessee,Rutherford,339261
South,Tennessee,Scott,22090
South,Tennessee,Sequatchie,15176
South,Tennessee,Sevier,99244
South,Tennessee,Shelby,936017
South,Tennessee,Smith,20285
South,Tennessee,Stewart,13859
South,Tennessee,Sullivan,158755
South,Tennessee,Sumner,195561
South,Tennessee,Tipton,61918
South,Tennessee,Trousdale,11455
South,Tennessee,Unicoi,17755
South,Tennessee,Union,20187
South,Tennessee,Van Buren,5947
South,Tennessee,Warren,41605
South,Tennessee,Washington,130367
South,Tennessee,Wayne,16524
South,Tennessee,Weakley,33334
South,Tennessee,White,27707
South,Tennessee,Williamson,245348
South,Tennessee,Wilson,148130
South,Texas,Anderson,57805
South,Texas,Andrews,18879
South,Texas,Angelina,86796
South,Texas,Aransas,23814
South,Texas,Archer,8730
South,Texas,Armstrong,1869
South,Texas,Atascosa,51724
South,Texas,Austin,29972
South,Texas,Bailey,6697
South,Texas,Bandera,23861
South,Texas,Bastrop,91601
South,Texas,Baylor,3518
South,Texas,Bee,32513
South,Texas,Bell,369927
South,Texas,Bexar,2026823
South,Texas,Blanco,12269
South,Texas,Borden,706
South,Texas,Bosque,18603
South,Texas,Bowie,93481
South,Texas,Brazoria,380518
South,Texas,Brazos,232555
South,Texas,Brewster,9237
South,Texas,Briscoe,1487
South,Texas,Brooks,6964
South,Texas,Brown,37633
South,Texas,Burleson,18514
South,Texas,Burnet,49653
South,Texas,Caldwell,43979
South,Texas,Calhoun,21001
South,Texas,Callahan,14110
South,Texas,Cameron,424180
South,Texas,Camp,13060
South,Texas,Carson,5854
South,Texas,Cass,29879
South,Texas,Castro,7396
South,Texas,Chambers,45590
South,Texas,Cherokee,52875
South,Texas,Childress,7143
South,Texas,Clay,10550
South,Texas,Cochran,2897
South,Texas,Coke,3323
South,Texas,Coleman,8100
South,Texas,Collin,1072069
South,Texas,Collingsworth,2877
South,Texas,Colorado,21610
South,Texas,Comal,164812
South,Texas,Comanche,13750
South,Texas,Concho,2827
South,Texas,Cooke,41393
South,Texas,Coryell,76737
South,Texas,Cottle,1363
South,Texas,Crane,4765
South,Texas,Crockett,3513
South,Texas,Crosby,5567
South,Texas,Culberson,2149
South,Texas,Dallam,7273
South,Texas,Dallas,2635888
South,Texas,Dawson,12974
South,Texas,Deaf Smith,18277
South,Texas,Delta,5349
South,Texas,Denton,919324
South,Texas,DeWitt,20174
South,Texas,Dickens,2140
South,Texas,Dimmit,9925
South,Texas,Donley,3308
South,Texas,Duval,11058
South,Texas,Eastland,18388
South,Texas,Ector,167701
South,Texas,Edwards,1923
South,Texas,Ellis,191760
South,Texas,El Paso,841286
South,Texas,Erath,43224
South,Texas,Falls,17275
South,Texas,Fannin,35913
South,Texas,Fayette,25547
South,Texas,Fisher,3784
South,Texas,Floyd,5672
South,Texas,Foard,1135
South,Texas,Fort Bend,839706
South,Texas,Franklin,10821
South,Texas,Freestone,19874
South,Texas,Frio,20379
South,Texas,Gaines,21996
South,Texas,Galveston,345089
South,Texas,Garza,6222
South,Texas,Gillespie,26960
South,Texas,Glasscock,1439
South,Texas,Goliad,7626
South,Texas,Gonzales,20948
South,Texas,Gray,21658
South,Texas,Grayson,138318
South,Texas,Gregg,124229
South,Texas,Grimes,29614
South,Texas,Guadalupe,170608
South,Texas,Hale,32754
South,Texas,Hall,2939
South,Texas,Hamilton,8557
South,Texas,Hansford,5279
South,Texas,Hardeman,4011
South,Texas,Hardin,58305
South,Texas,Harris,4738253
South,Texas,Harrison,66386
South,Texas,Hartley,5443
South,Texas,Haskell,5754
South,Texas,Hays,241365
South,Texas,Hemphill,3777
South,Texas,Henderson,83792
South,Texas,Hidalgo,875200
South,Texas,Hill,37006
South,Texas,Hockley,22921
South,Texas,Hood,63527
South,Texas,Hopkins,37170
South,Texas,Houston,22835
South,Texas,Howard,36540
South,Texas,Hudspeth,4906
South,Texas,Hunt,99807
South,Texas,Hutchinson,20677
South,Texas,Irion,1564
South,Texas,Jack,9056
South,Texas,Jackson,14854
South,Texas,Jasper,35375
South,Texas,Jeff Davis,2220
South,Texas,Jefferson,250127
South,Texas,Jim Hogg,5184
South,Texas,Jim Wells,40452
South,Texas,Johnson,179575
South,Texas,Jones,19875
South,Texas,Karnes,15562
South,Texas,Kaufman,143198
South,Texas,Kendall,48523
South,Texas,Kenedy,379
South,Texas,Kent,786
South,Texas,Kerr,52869
South,Texas,Kimble,4396
South,Texas,King,283
South,Texas,Kinney,3670
South,Texas,Kleberg,30338
South,Texas,Knox,3683
South,Texas,Lamar,49905
South,Texas,Lamb,12710
South,Texas,Lampasas,21789
South,Texas,La Salle,7500
South,Texas,Lavaca,20216
South,Texas,Lee,17397
South,Texas,Leon,17493
South,Texas,Liberty,91547
South,Texas,Limestone,23340
South,Texas,Lipscomb,3111
South,Texas,Live Oak,12324
South,Texas,Llano,21958
South,Texas,Loving,181
South,Texas,Lubbock,314772
South,Texas,Lynn,6025
South,Texas,McCulloch,7823
South,Texas,McLennan,259730
South,Texas,McMullen,721
South,Texas,Madison,14427
South,Texas,Marion,9960
South,Texas,Martin,5816
South,Texas,Mason,4344
South,Texas,Matagorda,36725
South,Texas,Maverick,58378
South,Texas,Medina,52358
South,Texas,Menard,2124
South,Texas,Midland,177863
South,Texas,Milam,24708
South,Texas,Mills,4840
South,Texas,Mitchell,8202
South,Texas,Montague,19962
South,Texas,Montgomery,626351
South,Texas,Moore,20654
South,Texas,Morris,12393
South,Texas,Motley,1185
South,Texas,Nacogdoches,64753
South,Texas,Navarro,50694
South,Texas,Newton,13414
South,Texas,Nolan,14835
South,Texas,Nueces,363148
South,Texas,Ochiltree,9598
South,Texas,Oldham,2135
South,Texas,Orange,82878
South,Texas,Palo Pinto,29320
South,Texas,Panola,23187
South,Texas,Parker,148198
South,Texas,Parmer,9522
South,Texas,Pecos,15718
South,Texas,Polk,52995
South,Texas,Potter,116004
South,Texas,Presidio,6508
South,Texas,Rains,12552
South,Texas,Randall,139899
South,Texas,Reagan,3833
South,Texas,Real,3411
South,Texas,Red River,11995
South,Texas,Reeves,15949
South,Texas,Refugio,6877
South,Texas,Roberts,813
South,Texas,Robertson,17155
South,Texas,Rockwall,109888
South,Texas,Runnels,10401
South,Texas,Rusk,54324
South,Texas,Sabine,10507
South,Texas,San Augustine,8248
South,Texas,San Jacinto,29301
South,Texas,San Patricio,67069
South,Texas,San Saba,6039
South,Texas,Schleicher,2761
South,Texas,Scurry,16662
South,Texas,Shackelford,3300
South,Texas,Shelby,24915
South,Texas,Sherman,3027
South,Texas,Smith,235806
South,Texas,Somervell,9139
South,Texas,Starr,64266
South,Texas,Stephens,9334
South,Texas,Sterling,1315
South,Texas,Stonewall,1348
South,Texas,Sutton,3738
South,Texas,Swisher,7340
South,Texas,Tarrant,2123347
South,Texas,Taylor,139200
South,Texas,Terrell,702
South,Texas,Terry,12183
South,Texas,Throckmorton,1487
South,Texas,Titus,32926
South,Texas,Tom Green,120010
South,Texas,Travis,1300503
South,Texas,Trinity,14883
South,Texas,Tyler,21591
South,Texas,Upshur,42166
South,Texas,Upton,3623
South,Texas,Uvalde,26742
South,Texas,Val Verde,49028
South,Texas,Van Zandt,57533
South,Texas,Victoria,91936
South,Texas,Walker,72164
South,Texas,Waller,57452
South,Texas,Ward,12097
South,Texas,Washington,35771
South,Texas,Webb,277681
South,Texas,Wharton,41685
South,Texas,Wheeler,4946
South,Texas,Wichita,133205
South,Texas,Wilbarger,12552
South,Texas,Willacy,21161
South,Texas,Williamson,617855
South,Texas,Wilson,52023
South,Texas,Winkler,7887
South,Texas,Wise,71084
South,Texas,Wood,46291
South,Texas,Yoakum,8702
South,Texas,Young,17904
South,Texas,Zapata,14172
South,Texas,Zavala,11840
West,Utah,Beaver,6761
West,Utah,Box Elder,57007
West,Utah,Cache,130004
West,Utah,Carbon,20760
West,Utah,Daggett,1026
West,Utah,Davis,359232
West,Utah,Duchesne,19894
West,Utah,Emery,10147
West,Utah,Garfield,5050
West,Utah,Grand,9796
West,Utah,Iron,56814
West,Utah,Juab,12122
West,Utah,Kane,7914
West,Utah,Millard,13327
West,Utah,Morgan,12462
West,Utah,Piute,1473
West,Utah,Rich,2452
West,Utah,Salt Lake,1165517
West,Utah,San Juan,15278
West,Utah,Sanpete,31393
West,Utah,Sevier,21780
West,Utah,Summit,42499
West,Utah,Tooele,74512
West,Utah,Uintah,35970
West,Utah,Utah,651059
West,Utah,Wasatch,35300
West,Utah,Washington,184913
West,Utah,Wayne,2759
West,Utah,Weber,262658
Northeast,Vermont,Addison,36851
Northeast,Vermont,Bennington,35338
Northeast,Vermont,Caledonia,29705
Northeast,Vermont,Chittenden,164306
Northeast,Vermont,Essex,6123
Northeast,Vermont,Franklin,49685
Northeast,Vermont,Grand Isle,7169
Northeast,Vermont,Lamoille,25341
Northeast,Vermont,Orange,28837
Northeast,Vermont,Orleans,26897
Northeast,Vermont,Rutland,57764
Northeast,Vermont,Washington,58328
Northeast,Vermont,Windham,42015
Northeast,Vermont,Windsor,54988
South,Virginia,Accomack,32238
South,Virginia,Albemarle,110652
South,Virginia,Alleghany,14701
South,Virginia,Amelia,13014
South,Virginia,Amherst,31667
South,Virginia,Appomattox,16043
South,Virginia,Arlington,240119
South,Virginia,Augusta,76544
South,Virginia,Bath,4119
South,Virginia,Bedford,79811
South,Virginia,Bland,6239
South,Virginia,Botetourt,33633
South,Virginia,Brunswick,16037
South,Virginia,Buchanan,20613
South,Virginia,Buckingham,17168
South,Virginia,Campbell,55304
South,Virginia,Caroline,30860
South,Virginia,Carroll,30074
South,Virginia,Charles City,6821
South,Virginia,Charlotte,11820
South,Virginia,Chesterfield,358245
South,Virginia,Clarke,14622
South,Virginia,Craig,5077
South,Virginia,Culpeper,53569
South,Virginia,Cumberland,9933
South,Virginia,Dickenson,14078
South,Virginia,Dinwiddie,28688
South,Virginia,Essex,10943
South,Virginia,Fairfax,1150847
South,Virginia,Fauquier,71361
South,Virginia,Floyd,15777
South,Virginia,Fluvanna,27422
South,Virginia,Franklin,56167
South,Virginia,Frederick,91119
South,Virginia,Giles,16663
South,Virginia,Gloucester,37459
South,Virginia,Goochland,24431
South,Virginia,Grayson,15493
South,Virginia,Greene,20131
South,Virginia,Greensville,11280
South,Virginia,Halifax,33633
South,Virginia,Hanover,108262
South,Virginia,Henrico,333766
South,Virginia,Henry,50309
South,Virginia,Highland,2200
South,Virginia,Isle of Wight,37725
South,Virginia,James City,77612
South,Virginia,King and Queen,6942
South,Virginia,King George,27381
South,Virginia,King William,17641
South,Virginia,Lancaster,10618
South,Virginia,Lee,23238
South,Virginia,Loudoun,422784
South,Virginia,Louisa,38132
South,Virginia,Lunenburg,12267
South,Virginia,Madison,13312
South,Virginia,Mathews,8766
South,Virginia,Mecklenburg,30679
South,Virginia,Middlesex,10569
South,Virginia,Montgomery,98391
South,Virginia,Nelson,14755
South,Virginia,New Kent,23648
South,Virginia,Northampton,11673
South,Virginia,Northumberland,12069
South,Virginia,Nottoway,15160
South,Virginia,Orange,37695
South,Virginia,Page,23933
South,Virginia,Patrick,17493
South,Virginia,Pittsylvania,59850
South,Virginia,Powhatan,30148
South,Virginia,Prince Edward,23006
South,Virginia,Prince George,38686
South,Virginia,Prince William,475533
South,Virginia,Pulaski,33935
South,Virginia,Rappahannock,7260
South,Virginia,Richmond,9071
South,Virginia,Roanoke,94509
South,Virginia,Rockbridge,22757
South,Virginia,Rockingham,82346
South,Virginia,Russell,26647
South,Virginia,Scott,21629
South,Virginia,Shenandoah,43905
South,Virginia,Smyth,30090
South,Virginia,Southampton,17636
South,Virginia,Spotsylvania,138449
South,Virginia,Stafford,156748
South,Virginia,Surry,6385
South,Virginia,Sussex,10925
South,Virginia,Tazewell,40529
South,Virginia,Warren,40475
South,Virginia,Washington,53695
South,Virginia,Westmoreland,18149
South,Virginia,Wise,37206
South,Virginia,Wythe,28620
South,Virginia,York,69199
South,Virginia,Alexandria city,158726
South,Virginia,Bristol city,17329
South,Virginia,Buena Vista city,6402
South,Virginia,Charlottesville city,46950
South,Virginia,Chesapeake city,247011
South,Virginia,Colonial Heights city,17205
South,Virginia,Covington city,5639
South,Virginia,Danville city,39869
South,Virginia,Emporia city,5257
South,Virginia,Fairfax city,23429
South,Virginia,Falls Church city,14631
South,Virginia,Franklin city,7833
South,Virginia,Fredericksburg city,29492
South,Virginia,Galax city,6296
South,Virginia,Hampton city,135464
South,Virginia,Harrisonburg city,53204
South,Virginia,Hopewell city,22375
South,Virginia,Lexington city,7279
South,Virginia,Lynchburg city,81561
South,Virginia,Manassas city,40869
South,Virginia,Manassas Park city,18004
South,Virginia,Martinsville city,12355
South,Virginia,Newport News city,179062
South,Virginia,Norfolk city,242803
South,Virginia,Norton city,3985
South,Virginia,Petersburg city,30446
South,Virginia,Poquoson city,12257
South,Virginia,Portsmouth city,95094
South,Virginia,Radford city,18255
South,Virginia,Richmond city,232226
South,Virginia,Roanoke city,99058
South,Virginia,Salem city,25340
South,Virginia,Staunton city,25190
South,Virginia,Suffolk city,93913
South,Virginia,Virginia Beach city,451231
South,Virginia,Waynesboro city,22741
South,Virginia,Williamsburg city,15259
South,Virginia,Winchester city,27700
West,Washington,Adams,20027
West,Washington,Asotin,22820
West,Washington,Benton,206426
West,Washington,Chelan,77574
West,Washington,Clallam,78067
West,Washington,Clark,496865
West,Washington,Columbia,4048
West,Washington,Cowlitz,111371
West,Washington,Douglas,43560
West,Washington,Ferry,7759
West,Washington,Franklin,97075
West,Washington,Garfield,2290
West,Washington,Grant,99377
West,Washington,Grays Harbor,75950
West,Washington,Island,86014
West,Washington,Jefferson,32700
West,Washington,King,2274315
West,Washington,Kitsap,272787
West,Washington,Kittitas,49204
West,Washington,Klickitat,22697
West,Washington,Lewis,82109
West,Washington,Lincoln,11090
West,Washington,Mason,68224
West,Washington,Okanogan,42620
West,Washington,Pacific,22984
West,Washington,Pend Oreille,14144
West,Washington,Pierce,913890
West,Washington,San Juan,17492
West,Washington,Skagit,130789
West,Washington,Skamania,12107
West,Washington,Snohomish,830393
West,Washington,Spokane,528225
West,Washington,Stevens,46360
West,Washington,Thurston,294074
West,Washington,Wahkiakum,4498
West,Washington,Walla Walla,61292
West,Washington,Whatcom,231016
West,Washington,Whitman,49500
West,Washington,Yakima,251879
South,West Virginia,Barbour,16444
South,West Virginia,Berkeley,122125
South,West Virginia,Boone,21055
South,West Virginia,Braxton,13702
South,West Virginia,Brooke,21674
South,West Virginia,Cabell,91589
South,West Virginia,Calhoun,6945
South,West Virginia,Clay,8341
South,West Virginia,Doddridge,8368
South,West Virginia,Fayette,42062
South,West Virginia,Gilmer,7811
South,West Virginia,Grant,11510
South,West Virginia,Greenbrier,34319
South,West Virginia,Hampshire,23190
South,West Virginia,Hancock,28571
South,West Virginia,Hardy,13633
South,West Virginia,Harrison,66870
South,West Virginia,Jackson,28453
South,West Virginia,Jefferson,57486
South,West Virginia,Kanawha,176253
South,West Virginia,Lewis,15805
South,West Virginia,Lincoln,20043
South,West Virginia,Logan,31688
South,West Virginia,McDowell,16916
South,West Virginia,Marion,55962
South,West Virginia,Marshall,30103
South,West Virginia,Mason,26335
South,West Virginia,Mercer,58258
South,West Virginia,Mineral,26722
South,West Virginia,Mingo,22951
South,West Virginia,Monongalia,106819
South,West Virginia,Monroe,13229
South,West Virginia,Morgan,17873
South,West Virginia,Nicholas,24340
South,West Virginia,Ohio,41182
South,West Virginia,Pendleton,6932
South,West Virginia,Pleasants,7438
South,West Virginia,Pocahontas,8190
South,West Virginia,Preston,33380
South,West Virginia,Putnam,56428
South,West Virginia,Raleigh,72920
South,West Virginia,Randolph,28387
South,West Virginia,Ritchie,9499
South,West Virginia,Roane,13482
South,West Virginia,Summers,12444
South,West Virginia,Taylor,16699
South,West Virginia,Tucker,6816
South,West Virginia,Tyler,8533
South,West Virginia,Upshur,24230
South,West Virginia,Wayne,39054
South,West Virginia,Webster,8058
South,West Virginia,Wetzel,14904
South,West Virginia,Wirt,5705
South,West Virginia,Wood,82938
South,West Virginia,Wyoming,20123
Midwest,Wisconsin,Adams,20498
Midwest,Wisconsin,Ashland,15415
Midwest,Wisconsin,Barron,45090
Midwest,Wisconsin,Bayfield,15242
Midwest,Wisconsin,Brown,264610
Midwest,Wisconsin,Buffalo,13033
Midwest,Wisconsin,Burnett,15557
Midwest,Wisconsin,Calumet,50209
Midwest,Wisconsin,Chippewa,64737
Midwest,Wisconsin,Clark,34720
Midwest,Wisconsin,Columbia,57668
Midwest,Wisconsin,Crawford,16021
Midwest,Wisconsin,Dane,552536
Midwest,Wisconsin,Dodge,87336
Midwest,Wisconsin,Door,27889
Midwest,Wisconsin,Douglas,43702
Midwest,Wisconsin,Dunn,45452
Midwest,Wisconsin,Eau Claire,105260
Midwest,Wisconsin,Florence,4298
Midwest,Wisconsin,Fond du Lac,102902
Midwest,Wisconsin,Forest,8960
Midwest,Wisconsin,Grant,51021
Midwest,Wisconsin,Green,36603
Midwest,Wisconsin,Green Lake,18908
Midwest,Wisconsin,Iowa,23640
Midwest,Wisconsin,Iron,5698
Midwest,Wisconsin,Jackson,20630
Midwest,Wisconsin,Jefferson,85038
Midwest,Wisconsin,Juneau,26908
Midwest,Wisconsin,Kenosha,169671
Midwest,Wisconsin,Kewaunee,20386
Midwest,Wisconsin,La Crosse,118502
Midwest,Wisconsin,Lafayette,16646
Midwest,Wisconsin,Langlade,19119
Midwest,Wisconsin,Lincoln,27566
Midwest,Wisconsin,Manitowoc,78757
Midwest,Wisconsin,Marathon,135593
Midwest,Wisconsin,Marinette,40262
Midwest,Wisconsin,Marquette,15585
Midwest,Wisconsin,Menominee,4546
Midwest,Wisconsin,Milwaukee,945016
Midwest,Wisconsin,Monroe,46582
Midwest,Wisconsin,Oconto,38383
Midwest,Wisconsin,Oneida,35751
Midwest,Wisconsin,Outagamie,188766
Midwest,Wisconsin,Ozaukee,90043
Midwest,Wisconsin,Pepin,7271
Midwest,Wisconsin,Pierce,42700
Midwest,Wisconsin,Polk,43794
Midwest,Wisconsin,Portage,71032
Midwest,Wisconsin,Price,13245
Midwest,Wisconsin,Racine,195802
Midwest,Wisconsin,Richland,17258
Midwest,Wisconsin,Rock,163084
Midwest,Wisconsin,Rusk,14022
Midwest,Wisconsin,St. Croix,91838
Midwest,Wisconsin,Sauk,64449
Midwest,Wisconsin,Sawyer,16700
Midwest,Wisconsin,Shawano,40786
Midwest,Wisconsin,Sheboygan,115240
Midwest,Wisconsin,Taylor,20318
Midwest,Wisconsin,Trempealeau,29681
Midwest,Wisconsin,Vernon,30861
Midwest,Wisconsin,Vilas,22356
Midwest,Wisconsin,Walworth,103953
Midwest,Wisconsin,Washburn,15712
Midwest,Wisconsin,Washington,136445
Midwest,Wisconsin,Waukesha,406172
Midwest,Wisconsin,Waupaca,50664
Midwest,Wisconsin,Waushara,24326
Midwest,Wisconsin,Winnebago,171631
Midwest,Wisconsin,Wood,72560
West,Wyoming,Albany,38950
West,Wyoming,Big Horn,11575
West,Wyoming,Campbell,46676
West,Wyoming,Carbon,14711
West,Wyoming,Converse,13804
West,Wyoming,Crook,7593
West,Wyoming,Fremont,39317
West,Wyoming,Goshen,13235
West,Wyoming,Hot Springs,4425
West,Wyoming,Johnson,8588
West,Wyoming,Laramie,100595
West,Wyoming,Lincoln,20253
West,Wyoming,Natrona,80815
West,Wyoming,Niobrara,2275
West,Wyoming,Park,29331
West,Wyoming,Platte,8578
West,Wyoming,Sheridan,30863
West,Wyoming,Sublette,9856
West,Wyoming,Sweetwater,42673
West,Wyoming,Teton,23497
West,Wyoming,Uinta,20215
West,Wyoming,Washakie,7760
West,Wyoming,Weston,6743
